source_file,dataset,model,model_seed,reference_label,candidate_label,reference_layer,candidate_layer,cka
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,exact,0,0,1.0
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,exact,0,1,0.9169958280665436
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,exact,0,3,0.8593925520773851
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,exact,0,4,0.7955283307676757
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,exact,0,5,0.7451088045374309
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,exact,1,0,0.916995828066544
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,exact,1,1,1.0
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,exact,1,3,0.9269301318941732
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,exact,1,4,0.8096412005820808
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,exact,1,5,0.7328496218103843
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,exact,3,0,0.8593925520773851
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,exact,3,1,0.9269301318941736
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,exact,3,3,1.0
results/stage3/layerwise/confirmatory/raw/seed-1/final/representations/cross_layer_cka.csv,FashionMNIST,lenet_classic,1,bp,exact,3,4,0.9299124628038886
