cell_id,block_id,candidate_id,method,depth,width,batch_size,model_seed,repetition,primary_host_time_median_us,primary_device_time_median_us,primary_peak_allocated_max_bytes,primary_peak_reserved_max_bytes,observer_cost_median_ms,saved_tensor_bytes_median,state_vjp_calls_median,graph_span_max,dependency_radius_max,graph_lifetimes,feedback_operator,fallback_validation_cost_ms,fallback_validation_status
s3b-cell-7d24f686e232eccf0fcd,s3b-block-248d76724a8cf4455766,composite_vjp,fixedpred,4,64,256,70,2,11560.5265,11561.869144439697,466978304,494927872,8.068175315856934,16770564.0,10.0,4,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-7d24f686e232eccf0fcd,s3b-block-248d76724a8cf4455766,composite_vjp,fixedpred,4,64,256,70,3,11258.763500000001,11259.984016418457,569839104,597688320,8.416086196899414,16770564.0,10.0,4,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-7d24f686e232eccf0fcd,s3b-block-248d76724a8cf4455766,composite_vjp,fixedpred,4,64,256,70,4,11582.283500000001,11582.804203033447,672699904,702545920,8.156221866607666,16770564.0,10.0,4,1,single_sweep_composite_vjp_call,exact_composite_state_vjp,,not_applicable_before_ex_if0
s3b-cell-cdafef86dad427d26b64,s3b-block-248d76724a8cf4455766,stage2_baseline,fixedpred,4,64,256,70,0,9527.594000000001,9528.86962890625,257958912,283115520,21.279047966003418,3881988.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-cdafef86dad427d26b64,s3b-block-248d76724a8cf4455766,stage2_baseline,fixedpred,4,64,256,70,1,9532.378499999999,9534.014701843262,360819712,385875968,21.76802635192871,3881988.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-cdafef86dad427d26b64,s3b-block-248d76724a8cf4455766,stage2_baseline,fixedpred,4,64,256,70,2,9777.404999999999,9778.63359451294,463680512,488636416,21.521138668060303,3881988.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-cdafef86dad427d26b64,s3b-block-248d76724a8cf4455766,stage2_baseline,fixedpred,4,64,256,70,3,9798.876499999998,9800.629615783691,566541312,591396864,21.997170448303223,3881988.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-cdafef86dad427d26b64,s3b-block-248d76724a8cf4455766,stage2_baseline,fixedpred,4,64,256,70,4,9720.7025,9721.792697906494,669402112,696254464,21.887248516082764,3881988.0,40.0,1,1,reused_across_inference_sweeps,exact_local_vjp_reused_fixed_prediction_graph,,not_applicable_before_ex_if0
s3b-cell-3b87983ff4ca0427a063,s3b-block-248d76724a8cf4455766,isolated_layer_vjp,fixedpred,4,64,256,70,0,14855.194,14856.12154006958,257145856,283115520,23.1383056640625,16770564.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
s3b-cell-3b87983ff4ca0427a063,s3b-block-248d76724a8cf4455766,isolated_layer_vjp,fixedpred,4,64,256,70,1,15021.2455,15022.26209640503,360006656,385875968,23.361429691314697,16770564.0,40.0,1,1,single_vjp_call,exact_isolated_layer_vjp,,not_applicable_before_ex_if0
