cell_id,method,depth,width,batch_size,model_seed,region,record_count,host_time_mean_us,host_time_median_us,host_time_p95_us,device_time_mean_us,device_time_median_us,device_time_p95_us,peak_allocated_max_bytes,peak_reserved_max_bytes,vjp_calls_total,synchronization_points_total,saved_tensor_bytes_mean,saved_tensor_bytes_max,actual_inference_steps_total,actual_inference_steps_max,non_finite_events_total
s3b-cell-76ee2b089ae4d20d6a63,fixedpred,4,256,64,70,optimizer_step,250,196.097504,190.524,231.792,174.52135187387466,169.6389988064766,206.48500323295593,1224575488,1268776960,0,500,0.0,0,0,0,0
s3b-cell-76ee2b089ae4d20d6a63,fixedpred,4,256,64,70,parameter_vjp,250,1438.0706559999999,1415.3975,1567.994,1382.0965027809143,1372.772991657257,1503.7059783935547,1224695808,1268776960,1000,500,593920.0,593920,0,0,0
s3b-cell-76ee2b089ae4d20d6a63,fixedpred,4,256,64,70,state_inference,250,27177.930372000003,26925.362,28724.674,27129.983283996582,26889.371871948242,28698.16017150879,1224236544,1268776960,10000,500,1931264.0,1931264,2500,10,0
s3b-cell-eaf59db10cec6857b475,strict,4,256,64,70,initial_forward,250,795.9476360000001,792.6334999999999,825.747,751.4183878898621,748.2379972934723,780.0279855728149,1706718208,1749024768,250,500,1134084.0,1134084,0,0,0
s3b-cell-eaf59db10cec6857b475,strict,4,256,64,70,local_state_vjp,250,14091.288008,14017.856,14640.547,12622.289197325706,12548.529013991356,13123.57497215271,1707787776,1749024768,15000,30000,0.0,0,0,0,0
s3b-cell-eaf59db10cec6857b475,strict,4,256,64,70,optimizer_step,250,199.171132,197.31650000000002,225.179,176.6647476553917,174.72399771213531,200.4449963569641,1708353536,1749024768,0,500,0.0,0,0,0,0
s3b-cell-eaf59db10cec6857b475,strict,4,256,64,70,parameter_vjp,250,1408.3845319999998,1393.545,1495.314,1358.3425812721252,1350.5474925041199,1452.4259567260742,1708473856,1749024768,1000,500,593920.0,593920,0,0,0
s3b-cell-eaf59db10cec6857b475,strict,4,256,64,70,state_inference,250,58214.18092,58118.083,60213.971,58133.07684326172,58044.5442199707,59972.511291503906,1707472384,1749024768,20000,500,17356880.0,17356880,5000,20,0
s3b-cell-93536c17e97afdafda38,fixedpred,4,256,64,71,initial_forward,250,803.6421,792.498,871.764,759.208571434021,748.2530176639557,832.4099779129028,1224521728,1268776960,250,500,1134084.0,1134084,0,0,0
s3b-cell-93536c17e97afdafda38,fixedpred,4,256,64,71,local_state_vjp,250,9758.367388,9765.3445,10476.405,8827.589981719851,8830.552518367767,9557.864010334015,1225925120,1268776960,10000,20000,0.0,0,0,0,0
s3b-cell-93536c17e97afdafda38,fixedpred,4,256,64,71,optimizer_step,250,191.44412400000002,188.12900000000002,203.077,170.5273277759552,167.68400371074677,181.7449927330017,1224575488,1268776960,0,500,0.0,0,0,0,0
s3b-cell-93536c17e97afdafda38,fixedpred,4,256,64,71,parameter_vjp,250,1420.397932,1408.5935,1494.252,1374.6600832939148,1366.9529557228088,1447.605013847351,1224695808,1268776960,1000,500,593920.0,593920,0,0,0
s3b-cell-93536c17e97afdafda38,fixedpred,4,256,64,71,state_inference,250,26724.478219999997,26655.8135,27791.591,26677.857376098633,26628.921508789062,27690.77491760254,1224236544,1268776960,10000,500,1931264.0,1931264,2500,10,0
s3b-cell-d674a6b4e22f9458c9be,strict,4,256,64,71,initial_forward,250,786.230052,779.232,828.11,742.7663955688477,736.1325025558472,784.7579717636108,1706718208,1749024768,250,500,1134084.0,1134084,0,0,0
s3b-cell-d674a6b4e22f9458c9be,strict,4,256,64,71,local_state_vjp,250,14000.623824,13929.9895,14516.188,12600.865816891193,12534.878507256508,13064.839035272598,1707787776,1749024768,15000,30000,0.0,0,0,0,0
s3b-cell-d674a6b4e22f9458c9be,strict,4,256,64,71,optimizer_step,250,188.860272,186.19549999999998,204.46,167.99407625198364,164.853997528553,182.78400599956512,1708353536,1749024768,0,500,0.0,0,0,0,0
s3b-cell-d674a6b4e22f9458c9be,strict,4,256,64,71,parameter_vjp,250,1392.0106,1378.0805,1505.934,1344.740478515625,1336.7319703102112,1451.9939422607422,1708473856,1749024768,1000,500,593920.0,593920,0,0,0
s3b-cell-d674a6b4e22f9458c9be,strict,4,256,64,71,state_inference,250,56077.176675999995,55283.9425,59072.772,56000.418533325195,55222.89276123047,58926.97525024414,1707472384,1749024768,20000,500,17356880.0,17356880,5000,20,0
s3b-cell-2b396bb596b4ec8a99c1,fixedpred,4,256,64,72,initial_forward,250,815.942684,800.072,923.212,770.6811280250549,755.3569972515106,872.8010058403015,1224521728,1268776960,250,500,1134084.0,1134084,0,0,0
s3b-cell-2b396bb596b4ec8a99c1,fixedpred,4,256,64,72,local_state_vjp,250,9782.561711999999,9807.1675,10484.598,8825.854593776166,8843.634009361267,9510.80997288227,1225925120,1268776960,10000,20000,0.0,0,0,0,0
s3b-cell-2b396bb596b4ec8a99c1,fixedpred,4,256,64,72,optimizer_step,250,193.84549600000003,189.24099999999999,211.795,172.3225883245468,168.4189960360527,191.15400314331055,1224575488,1268776960,0,500,0.0,0,0,0,0
s3b-cell-2b396bb596b4ec8a99c1,fixedpred,4,256,64,72,parameter_vjp,250,1420.084372,1404.9209999999998,1501.967,1372.0645623207092,1361.8469834327698,1448.4339952468872,1224695808,1268776960,1000,500,593920.0,593920,0,0,0
s3b-cell-2b396bb596b4ec8a99c1,fixedpred,4,256,64,72,state_inference,250,26925.819756,26758.256,28314.702,26874.402687072754,26712.605476379395,28146.82388305664,1224236544,1268776960,10000,500,1931264.0,1931264,2500,10,0
s3b-cell-f9edc873b624f8174590,strict,4,256,64,72,initial_forward,250,801.03364,796.0844999999999,839.072,756.255131483078,752.177506685257,794.5690155029297,1706718208,1749024768,250,500,1134084.0,1134084,0,0,0
s3b-cell-f9edc873b624f8174590,strict,4,256,64,72,local_state_vjp,250,14130.455976,13998.373500000002,14997.404,12667.917138814926,12542.401529848576,13512.56500184536,1707787776,1749024768,15000,30000,0.0,0,0,0,0
s3b-cell-f9edc873b624f8174590,strict,4,256,64,72,optimizer_step,250,196.432952,191.92149999999998,215.25,174.86497229337692,170.23400217294693,192.6639974117279,1708353536,1749024768,0,500,0.0,0,0,0,0
s3b-cell-f9edc873b624f8174590,strict,4,256,64,72,parameter_vjp,250,1404.23604,1391.3455,1492.629,1356.3292412757874,1349.5965003967285,1434.9340200424194,1708473856,1749024768,1000,500,593920.0,593920,0,0,0
s3b-cell-f9edc873b624f8174590,strict,4,256,64,72,state_inference,250,57428.222424,56867.383499999996,59783.067,57350.096282958984,56791.95022583008,59607.444763183594,1707472384,1749024768,20000,500,17356880.0,17356880,5000,20,0
s3b-cell-504ef094b8da74bc104a,fixedpred,4,256,256,70,initial_forward,250,806.641684,791.135,901.961,764.0872507095337,748.4729886054993,849.3499755859375,1652113408,1858076672,250,500,2932740.0,2932740,0,0,0
