run_id,experiment_id,status,stage,dataset,model,method,eta,inference_steps,model_seed,split_seed,config_sha256,git_commit,torch2pc_commit,run_directory,started_utc,finished_utc,test_evaluated,notes
20260712T234055Z-77cfa4eb,pilot-mnist-bp-s40-ebf918a3b7-c08d1503-ca66dfdc,running,pilot,MNIST,lenet_classic,bp,,,40,42,ebf918a3b72badcaa02986f0a961eb2b2dd772dca6f4985e94503201ee00b0ba,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-mnist-bp-s40-ebf918a3b7-c08d1503-ca66dfdc/20260712T234055Z-77cfa4eb,2026-07-12T23:40:55Z,,false,
20260712T234055Z-77cfa4eb,pilot-mnist-bp-s40-ebf918a3b7-c08d1503-ca66dfdc,completed,pilot,MNIST,lenet_classic,bp,,,40,42,ebf918a3b72badcaa02986f0a961eb2b2dd772dca6f4985e94503201ee00b0ba,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-mnist-bp-s40-ebf918a3b7-c08d1503-ca66dfdc/20260712T234055Z-77cfa4eb,2026-07-12T23:40:55Z,2026-07-12T23:41:07Z,false,
20260712T234111Z-e653a0ec,pilot-mnist-bp-s41-458a61413b-c08d1503-ca66dfdc,running,pilot,MNIST,lenet_classic,bp,,,41,42,458a61413b7b33ae1863a8fb0658767ee24d11981f34a7de9ec7f07473e0e0b5,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-mnist-bp-s41-458a61413b-c08d1503-ca66dfdc/20260712T234111Z-e653a0ec,2026-07-12T23:41:11Z,,false,
20260712T234111Z-e653a0ec,pilot-mnist-bp-s41-458a61413b-c08d1503-ca66dfdc,completed,pilot,MNIST,lenet_classic,bp,,,41,42,458a61413b7b33ae1863a8fb0658767ee24d11981f34a7de9ec7f07473e0e0b5,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-mnist-bp-s41-458a61413b-c08d1503-ca66dfdc/20260712T234111Z-e653a0ec,2026-07-12T23:41:11Z,2026-07-12T23:41:23Z,false,
20260712T234127Z-466f0a47,pilot-mnist-bp-s42-02a399c1c1-c08d1503-ca66dfdc,running,pilot,MNIST,lenet_classic,bp,,,42,42,02a399c1c10a677a8a8dc7274ecb59864f77547e39a03ece3c2029c86953b0d2,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-mnist-bp-s42-02a399c1c1-c08d1503-ca66dfdc/20260712T234127Z-466f0a47,2026-07-12T23:41:27Z,,false,
20260712T234127Z-466f0a47,pilot-mnist-bp-s42-02a399c1c1-c08d1503-ca66dfdc,completed,pilot,MNIST,lenet_classic,bp,,,42,42,02a399c1c10a677a8a8dc7274ecb59864f77547e39a03ece3c2029c86953b0d2,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-mnist-bp-s42-02a399c1c1-c08d1503-ca66dfdc/20260712T234127Z-466f0a47,2026-07-12T23:41:27Z,2026-07-12T23:41:38Z,false,
20260712T234143Z-6e5d8276,pilot-mnist-fixedpred-s40-1bfc9f5b38-c08d1503-ca66dfdc,running,pilot,MNIST,lenet_classic,fixedpred,0.1,1,40,42,1bfc9f5b388e35955b1ff5277c41055979cf1cab54eee1c9fbbe41d96224b760,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-mnist-fixedpred-s40-1bfc9f5b38-c08d1503-ca66dfdc/20260712T234143Z-6e5d8276,2026-07-12T23:41:43Z,,false,
20260712T234143Z-6e5d8276,pilot-mnist-fixedpred-s40-1bfc9f5b38-c08d1503-ca66dfdc,completed,pilot,MNIST,lenet_classic,fixedpred,0.1,1,40,42,1bfc9f5b388e35955b1ff5277c41055979cf1cab54eee1c9fbbe41d96224b760,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-mnist-fixedpred-s40-1bfc9f5b38-c08d1503-ca66dfdc/20260712T234143Z-6e5d8276,2026-07-12T23:41:43Z,2026-07-12T23:41:55Z,false,
20260712T234159Z-24aa29e5,pilot-mnist-fixedpred-s41-a7ac858fab-c08d1503-ca66dfdc,running,pilot,MNIST,lenet_classic,fixedpred,0.1,1,41,42,a7ac858fabf9dc40a4337e462f7b545dd19d6b07193f67d00b45f9dcabd195db,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-mnist-fixedpred-s41-a7ac858fab-c08d1503-ca66dfdc/20260712T234159Z-24aa29e5,2026-07-12T23:41:59Z,,false,
20260712T234159Z-24aa29e5,pilot-mnist-fixedpred-s41-a7ac858fab-c08d1503-ca66dfdc,completed,pilot,MNIST,lenet_classic,fixedpred,0.1,1,41,42,a7ac858fabf9dc40a4337e462f7b545dd19d6b07193f67d00b45f9dcabd195db,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-mnist-fixedpred-s41-a7ac858fab-c08d1503-ca66dfdc/20260712T234159Z-24aa29e5,2026-07-12T23:41:59Z,2026-07-12T23:42:11Z,false,
20260712T234215Z-1258e86d,pilot-mnist-fixedpred-s42-a5055aac93-c08d1503-ca66dfdc,running,pilot,MNIST,lenet_classic,fixedpred,0.1,1,42,42,a5055aac936dd58b54c5eb39f42867affc4b8dcde25c9ebe0a20ba3272fc6da1,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-mnist-fixedpred-s42-a5055aac93-c08d1503-ca66dfdc/20260712T234215Z-1258e86d,2026-07-12T23:42:15Z,,false,
20260712T234215Z-1258e86d,pilot-mnist-fixedpred-s42-a5055aac93-c08d1503-ca66dfdc,completed,pilot,MNIST,lenet_classic,fixedpred,0.1,1,42,42,a5055aac936dd58b54c5eb39f42867affc4b8dcde25c9ebe0a20ba3272fc6da1,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-mnist-fixedpred-s42-a5055aac93-c08d1503-ca66dfdc/20260712T234215Z-1258e86d,2026-07-12T23:42:15Z,2026-07-12T23:42:27Z,false,
20260712T234231Z-5ad079e1,pilot-mnist-strict-s40-61ad015811-c08d1503-ca66dfdc,running,pilot,MNIST,lenet_classic,strict,0.01,5,40,42,61ad01581170287c48f7e2f75e21705ad13cbd5c74f97fee9489b6e4304b45ae,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-mnist-strict-s40-61ad015811-c08d1503-ca66dfdc/20260712T234231Z-5ad079e1,2026-07-12T23:42:31Z,,false,
20260712T234231Z-5ad079e1,pilot-mnist-strict-s40-61ad015811-c08d1503-ca66dfdc,completed,pilot,MNIST,lenet_classic,strict,0.01,5,40,42,61ad01581170287c48f7e2f75e21705ad13cbd5c74f97fee9489b6e4304b45ae,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-mnist-strict-s40-61ad015811-c08d1503-ca66dfdc/20260712T234231Z-5ad079e1,2026-07-12T23:42:31Z,2026-07-12T23:42:44Z,false,
20260712T234249Z-a2217928,pilot-mnist-strict-s41-f43d0a509f-c08d1503-ca66dfdc,running,pilot,MNIST,lenet_classic,strict,0.01,5,41,42,f43d0a509fcba1d2847ce137e4b85c69bfedb225f051e82e51e38a91aa44813f,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-mnist-strict-s41-f43d0a509f-c08d1503-ca66dfdc/20260712T234249Z-a2217928,2026-07-12T23:42:49Z,,false,
20260712T234249Z-a2217928,pilot-mnist-strict-s41-f43d0a509f-c08d1503-ca66dfdc,completed,pilot,MNIST,lenet_classic,strict,0.01,5,41,42,f43d0a509fcba1d2847ce137e4b85c69bfedb225f051e82e51e38a91aa44813f,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-mnist-strict-s41-f43d0a509f-c08d1503-ca66dfdc/20260712T234249Z-a2217928,2026-07-12T23:42:49Z,2026-07-12T23:43:02Z,false,
20260712T234306Z-5f4a8427,pilot-mnist-strict-s42-f629c4c1ab-c08d1503-ca66dfdc,running,pilot,MNIST,lenet_classic,strict,0.01,5,42,42,f629c4c1ab796b1c9d3c161e409230fe2f1fd176011eaa51ba75b458b698e9c4,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-mnist-strict-s42-f629c4c1ab-c08d1503-ca66dfdc/20260712T234306Z-5f4a8427,2026-07-12T23:43:06Z,,false,
20260712T234306Z-5f4a8427,pilot-mnist-strict-s42-f629c4c1ab-c08d1503-ca66dfdc,completed,pilot,MNIST,lenet_classic,strict,0.01,5,42,42,f629c4c1ab796b1c9d3c161e409230fe2f1fd176011eaa51ba75b458b698e9c4,c08d1503a6e189122d088ed0d1b93bcd89224e6c,00c6c50ee3540537bbb56ab2b6567b541f42b093,results/runs/pilot-mnist-strict-s42-f629c4c1ab-c08d1503-ca66dfdc/20260712T234306Z-5f4a8427,2026-07-12T23:43:06Z,2026-07-12T23:43:19Z,false,
