cell_id,method,depth,width,batch_size,model_seed,region,host_time_median_us,device_time_median_us,host_time_share_of_region_sum,device_time_share_of_region_sum,host_time_to_composite_ratio,device_time_to_composite_ratio,peak_allocated_max_bytes,peak_reserved_max_bytes,vjp_calls_total,synchronization_points_total,saved_tensor_bytes_mean,saved_tensor_bytes_max,actual_inference_steps_total,non_finite_events_total
s3b-cell-00bdb34bd7ffd5afc89d,fixedpred,4,64,256,72,local_state_vjp,9660.7335,8725.61496496,0.250064802246,0.232330377564,0.315056698073,0.284080597166,674645504,700448768,10000,20000,0,0,0,0
s3b-cell-00bdb34bd7ffd5afc89d,fixedpred,4,64,256,72,optimizer_step,187.5935,164.754502475,0.00485579397053,0.00438679404479,0.00611781586667,0.00536392651256,667939840,700448768,0,500,0,0,0,0
s3b-cell-00bdb34bd7ffd5afc89d,fixedpred,4,64,256,72,parameter_vjp,1391.402,1346.32349014,0.0360159677291,0.035847541525,0.0453765254794,0.0438323697062,668116480,700448768,1000,500,1196032,1196032,0,0
s3b-cell-00bdb34bd7ffd5afc89d,fixedpred,4,64,256,72,state_inference,26608.0115,26581.1252594,0.688739331637,0.707755601455,0.867742831896,0.865403982109,671119872,700448768,10000,500,1432064,1432064,2500,0
s3b-cell-76ee2b089ae4d20d6a63,fixedpred,4,256,64,70,initial_forward,802.131,758.013516665,0.0204122992774,0.0198502144333,0.0258250205319,0.0243073252537,1224521728,1268776960,250,500,1134084,1134084,0,0
s3b-cell-76ee2b089ae4d20d6a63,fixedpred,4,256,64,70,local_state_vjp,9963.0405,8996.86902761,0.253535350708,0.2356023679,0.32076521849,0.288503855026,1225925120,1268776960,10000,20000,0,0,0,0
s3b-cell-76ee2b089ae4d20d6a63,fixedpred,4,256,64,70,optimizer_step,190.524,169.638998806,0.00484837627211,0.00444236207999,0.00613401827359,0.00543983745547,1224575488,1268776960,0,500,0,0,0,0
s3b-cell-76ee2b089ae4d20d6a63,fixedpred,4,256,64,70,parameter_vjp,1415.3975,1372.77299166,0.0360184525551,0.0359490136436,0.0455694512471,0.0440209031556,1224695808,1268776960,1000,500,593920,593920,0,0
s3b-cell-76ee2b089ae4d20d6a63,fixedpred,4,256,64,70,state_inference,26925.362,26889.3718719,0.685185521188,0.704156041943,0.86687589244,0.862265241437,1224236544,1268776960,10000,500,1931264,1931264,2500,0
s3b-cell-93536c17e97afdafda38,fixedpred,4,256,64,71,initial_forward,792.498,748.253017664,0.0204197441671,0.0198252822102,0.0257697919656,0.0242697795571,1224521728,1268776960,250,500,1134084,1134084,0,0
s3b-cell-93536c17e97afdafda38,fixedpred,4,256,64,71,local_state_vjp,9765.3445,8830.55251837,0.251616832338,0.233969247856,0.317541364441,0.286421247798,1225925120,1268776960,10000,20000,0,0,0,0
s3b-cell-93536c17e97afdafda38,fixedpred,4,256,64,71,optimizer_step,188.129,167.684003711,0.00484738895293,0.00444285905599,0.00611742262149,0.00543887389591,1224575488,1268776960,0,500,0,0,0,0
s3b-cell-93536c17e97afdafda38,fixedpred,4,256,64,71,parameter_vjp,1408.5935,1366.95295572,0.036294247942,0.0362180004297,0.0458034739003,0.0443374715733,1224695808,1268776960,1000,500,593920,593920,0,0
s3b-cell-93536c17e97afdafda38,fixedpred,4,256,64,71,state_inference,26655.8135,26628.9215088,0.6868217866,0.705544610449,0.866771611496,0.863715935124,1224236544,1268776960,10000,500,1931264,1931264,2500,0
s3b-cell-2b396bb596b4ec8a99c1,fixedpred,4,256,64,72,initial_forward,800.072,755.356997252,0.0205359094853,0.019960883215,0.0258896689697,0.0243864207836,1224521728,1268776960,250,500,1134084,1134084,0,0
s3b-cell-2b396bb596b4ec8a99c1,fixedpred,4,256,64,72,local_state_vjp,9807.1675,8843.63400936,0.251726224749,0.233699755612,0.317351838466,0.285513447275,1225925120,1268776960,10000,20000,0,0,0,0
s3b-cell-2b396bb596b4ec8a99c1,fixedpred,4,256,64,72,optimizer_step,189.241,168.418996036,0.00485735789643,0.00445060007824,0.00612368242545,0.00543734488491,1224575488,1268776960,0,500,0,0,0,0
s3b-cell-2b396bb596b4ec8a99c1,fixedpred,4,256,64,72,parameter_vjp,1404.921,1361.84698343,0.03606091763,0.0359878424267,0.0454620829358,0.0439667252725,1224695808,1268776960,1000,500,593920,593920,0,0
s3b-cell-2b396bb596b4ec8a99c1,fixedpred,4,256,64,72,state_inference,26758.256,26712.6054764,0.686819590239,0.705900918669,0.865875058803,0.862406570328,1224236544,1268776960,10000,500,1931264,1931264,2500,0
s3b-cell-504ef094b8da74bc104a,fixedpred,4,256,256,70,initial_forward,791.135,748.472988605,0.0203872136517,0.0198348516943,0.0256648856945,0.0242300892705,1652113408,1858076672,250,500,2932740,2932740,0,0
s3b-cell-504ef094b8da74bc104a,fixedpred,4,256,256,70,local_state_vjp,9712.9125,8789.03900087,0.250297638605,0.232913261764,0.315092606285,0.28452489647,1657725440,1866465280,10000,20000,0,0,0,0
s3b-cell-504ef094b8da74bc104a,fixedpred,4,256,256,70,optimizer_step,190.268,167.55400598,0.00490312572074,0.00444025223356,0.00617240606385,0.00542417506623,1648371712,1866465280,0,500,0,0,0,0
