pair_id,component,passed,finite,presence_match,reference_l2,candidate_l2,difference_l2,relative_l2,cosine,max_abs,zero_case
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_6/prediction_errors/layer_3,True,True,True,0.0001089013507726235,0.0001089013507726235,0.0,0.0,1.0000000000000002,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_6/prediction_errors/layer_4,True,True,True,0.0011095637003916924,0.0011095637003916924,0.0,0.0,1.0000000000000002,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_6/prediction_errors/layer_5,True,True,True,0.007621809395058518,0.007621809395058518,0.0,0.0,0.9999999999999999,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_6/prediction_errors/layer_6,True,True,True,0.0232965956873802,0.0232965956873802,0.0,0.0,1.0000000000000004,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_6/state_corrections/layer_0,True,True,True,,,,,,,both_missing
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_6/state_corrections/layer_1,True,True,True,2.480007804825201e-07,2.480007804825201e-07,0.0,0.0,0.9999999999999937,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_6/state_corrections/layer_2,True,True,True,5.229817087097309e-06,5.229817087097309e-06,0.0,0.0,0.9999999999999988,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_6/state_corrections/layer_3,True,True,True,5.6534708643280325e-05,5.6534708643280325e-05,0.0,0.0,0.9999999999999952,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_6/state_corrections/layer_4,True,True,True,0.0003675117491916729,0.0003675117491916729,0.0,0.0,0.9999999999999974,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_6/state_corrections/layer_5,True,True,True,0.001353890566506297,0.001353890566506297,0.0,0.0,0.9999999999999989,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_6/state_corrections/layer_6,True,True,True,,,,,,,both_missing
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_7/beliefs/layer_0,True,True,True,198.61801164763378,198.61801164763378,0.0,0.0,0.999999999999978,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_7/beliefs/layer_1,True,True,True,285.7423908463838,285.7423908463838,0.0,0.0,1.0000000000000167,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_7/beliefs/layer_2,True,True,True,199.1925065239413,199.1925065239413,0.0,0.0,0.9999999999999705,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_7/beliefs/layer_3,True,True,True,199.1925062775858,199.1925062775858,0.0,0.0,0.9999999999999732,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_7/beliefs/layer_4,True,True,True,150.11142171756757,150.11142171756757,0.0,0.0,0.9999999999999875,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_7/beliefs/layer_5,True,True,True,121.21839023016247,121.21839023016247,0.0,0.0,0.9999999999999915,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_7/beliefs/layer_6,True,True,True,190.9580910568978,190.9580910568978,0.0,0.0,1.0000000000000009,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_7/prediction_errors/layer_0,True,True,True,,,,,,,both_missing
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_7/prediction_errors/layer_1,True,True,True,1.7383259182328783e-07,1.7383259182328783e-07,0.0,0.0,0.9999999999999998,0.0,both_active
rocm_float32__strict__seed-2__batch-0,trajectory/after_sweep/sweep_7/prediction_errors/layer_2,True,True,True,9.777603797846633e-06,9.777603797846633e-06,0.0,0.0,1.0,0.0,both_active
