candidate_id,method,depth,width,batch_size,model_seed_count,device_improvement_seed_count,device_nonregression_seed_count,median_device_time_ratio_to_baseline,minimum_device_time_ratio_to_baseline,maximum_device_time_ratio_to_baseline,median_host_time_ratio_to_baseline,minimum_host_time_ratio_to_baseline,maximum_host_time_ratio_to_baseline,median_peak_allocated_ratio_to_baseline,minimum_peak_allocated_ratio_to_baseline,maximum_peak_allocated_ratio_to_baseline,median_peak_reserved_ratio_to_baseline,minimum_peak_reserved_ratio_to_baseline,maximum_peak_reserved_ratio_to_baseline,median_saved_tensor_bytes_ratio_to_baseline,minimum_saved_tensor_bytes_ratio_to_baseline,maximum_saved_tensor_bytes_ratio_to_baseline,median_state_vjp_calls_ratio_to_baseline,minimum_state_vjp_calls_ratio_to_baseline,maximum_state_vjp_calls_ratio_to_baseline,median_graph_span_ratio_to_baseline,minimum_graph_span_ratio_to_baseline,maximum_graph_span_ratio_to_baseline,median_dependency_radius_ratio_to_baseline,minimum_dependency_radius_ratio_to_baseline,maximum_dependency_radius_ratio_to_baseline,median_device_time_reduction,minimum_device_time_reduction,maximum_device_time_reduction,maximum_seed_device_time_ratio,method_device_reduction_threshold,timing_threshold_passed,seed_regression_limit_passed,allocated_memory_limit_passed,reserved_memory_limit_passed,pareto_admissible,configuration_qualified
composite_vjp,fixedpred,16,256,64,3,0,0,1.0910285522311718,1.0796501125750595,1.1370872603707605,1.09115204541377,1.079708321785203,1.137179083480316,1.0,1.0,1.0,1.0,1.0,1.0,5.079856484106007,5.079856484106007,5.079856484106007,0.0625,0.0625,0.0625,16.0,16.0,16.0,1.0,1.0,1.0,-0.09102855223117179,-0.13708726037076047,-0.0796501125750595,1.1370872603707605,0.15,False,False,True,True,True,False
composite_vjp,fixedpred,16,256,256,3,0,0,1.112718098382825,1.095124312183111,1.1477070811506118,1.1127431606336597,1.095103077188594,1.1477113531570367,1.0017990756423623,1.0017990756423623,1.0017990756423623,1.0,1.0,1.0007864726700748,4.461869839964984,4.461869839964984,4.461869839964984,0.0625,0.0625,0.0625,16.0,16.0,16.0,1.0,1.0,1.0,-0.1127180983828251,-0.14770708115061182,-0.0951243121831109,1.1477070811506118,0.15,False,False,True,True,True,False
composite_vjp,fixedpred,32,64,64,3,0,0,1.0705948258679503,1.0531205733501245,1.098240601271119,1.0706143667322512,1.0531160189993025,1.0982525869617177,1.0013799624636457,1.0013799624636457,1.0013799624636457,0.9976798143851509,0.9976798143851509,0.9976798143851509,4.551101602052503,4.551101602052503,4.551101602052503,0.03125,0.03125,0.03125,32.0,32.0,32.0,1.0,1.0,1.0,-0.0705948258679503,-0.098240601271119,-0.053120573350124545,1.098240601271119,0.15,False,False,True,True,True,False
composite_vjp,fixedpred,32,64,256,3,0,0,1.1024377879790437,1.0846269790343273,1.1054694396223803,1.1024766716197354,1.0846116775173804,1.1055075556052363,1.0029955828215515,1.0029955828215515,1.0029955828215515,1.0012484394506866,1.0,1.0012484394506866,4.165651119513914,4.165651119513914,4.165651119513914,0.03125,0.03125,0.03125,32.0,32.0,32.0,1.0,1.0,1.0,-0.10243778797904368,-0.10546943962238031,-0.08462697903432725,1.1054694396223803,0.15,False,False,True,True,True,False
composite_vjp,fixedpred,32,256,64,3,0,0,1.0809537852703077,1.0763010152856747,1.1053499116610161,1.080890307238843,1.076221647456044,1.1054947427138935,1.0,1.0,1.0,1.0002928257686676,1.0,1.0002928257686676,4.968458890784064,4.968458890784064,4.968458890784064,0.03125,0.03125,0.03125,32.0,32.0,32.0,1.0,1.0,1.0,-0.08095378527030772,-0.10534991166101615,-0.07630101528567468,1.1053499116610161,0.15,False,False,True,True,True,False
composite_vjp,fixedpred,32,256,256,3,0,0,1.0928760546598435,1.0554195342566413,1.103468902556536,1.0928814953278596,1.0554230534376217,1.1034780462782419,1.0018440291732131,1.0018440291732131,1.0018440291732131,0.9934335945774201,0.9934335945774201,0.9942808726964626,4.418840684541427,4.418840684541427,4.418840684541427,0.03125,0.03125,0.03125,32.0,32.0,32.0,1.0,1.0,1.0,-0.0928760546598435,-0.10346890255653607,-0.055419534256641256,1.103468902556536,0.15,False,False,True,True,True,False
composite_vjp,strict,4,64,64,3,0,0,1.0986259353595695,1.0861405544816776,1.102731612237011,1.0986597287861142,1.0860069046758123,1.1027538522655445,0.7490729887761919,0.7484816567264739,0.7490729887761919,0.7509727626459144,0.7509727626459144,0.7509727626459144,1.1223511783663689,1.1223511783663689,1.1223511783663689,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,3.0,3.0,1.0,1.0,1.0,-0.09862593535956954,-0.102731612237011,-0.08614055448167757,1.102731612237011,0.2,False,False,True,True,True,False
composite_vjp,strict,4,64,256,3,0,0,1.0756147114032433,1.0660442162301567,1.0944953166401685,1.0756586565313935,1.0657791178441667,1.0944360464379705,0.5562524508586781,0.5562524508586781,0.5562524508586781,0.5648464163822525,0.5648464163822525,0.5648464163822525,1.1340376925896225,1.1340376925896225,1.1340376925896225,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,3.0,3.0,1.0,1.0,1.0,-0.07561471140324327,-0.09449531664016853,-0.06604421623015666,1.0944953166401685,0.2,False,False,True,True,True,False
composite_vjp,strict,4,256,64,3,0,0,1.111047243661328,1.0787763429055883,1.1168958532656554,1.110904934919163,1.0788192940592394,1.1168046160596508,0.7164528186145533,0.7164528186145533,0.7164528186145533,0.7245508982035929,0.7245508982035929,0.7254196642685852,1.0794094425724567,1.0794094425724567,1.0794094425724567,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,3.0,3.0,1.0,1.0,1.0,-0.1110472436613279,-0.11689585326565544,-0.07877634290558833,1.1168958532656554,0.2,False,False,True,True,True,False
composite_vjp,strict,4,256,256,3,0,0,1.1232426026944016,1.118107648540761,1.129549272542745,1.1237939920397844,1.1182188037274683,1.1295305442265744,0.4628057499182398,0.4628057499182398,0.46349256429349683,0.4828150572831424,0.48226950354609927,0.48307860262008734,1.1276879206413273,1.1276879206413273,1.1276879206413273,0.3333333333333333,0.3333333333333333,0.3333333333333333,3.0,3.0,3.0,1.0,1.0,1.0,-0.12324260269440157,-0.12954927254274495,-0.11810764854076106,1.129549272542745,0.2,False,False,True,True,True,False
