block_id,candidate_id,method,depth,width,batch_size,model_seed,device_time_ratio_to_baseline,host_time_ratio_to_baseline,peak_allocated_ratio_to_baseline,peak_reserved_ratio_to_baseline,saved_tensor_bytes_ratio_to_baseline,state_vjp_calls_ratio_to_baseline,graph_span_ratio_to_baseline,dependency_radius_ratio_to_baseline,device_time_reduction,device_speedup,peak_allocated_growth,peak_reserved_growth,candidate_observer_cost_ms,baseline_observer_cost_ms,fallback_validation_status
s3b-block-1670e5358f7599134dc5,isolated_layer_vjp,strict,16,256,64,72,1.314261562283126,1.3142771181894546,0.884843364051197,0.8892699657030867,1.0126558917221122,1.0,1.0,1.0,-0.31426156228312596,0.7608835476119434,-0.11515663594880299,-0.1107300342969133,178.4727783203125,182.65575790405273,not_applicable_before_ex_if0
s3b-block-1670e5358f7599134dc5,composite_vjp,strict,16,256,64,72,0.9402177956158523,0.940214012978652,0.884843364051197,0.8887800097991181,1.0126558917221122,0.06666666666666667,15.0,1.0,0.05978220438414772,1.0635833576676665,-0.11515663594880299,-0.11121999020088191,19.403480529785156,182.65575790405273,not_applicable_before_ex_if0
s3b-block-17dd185d818e3f2bfae5,isolated_layer_vjp,strict,32,64,64,70,1.3453352528432567,1.34535026093646,0.8691631462502455,0.8701825557809331,1.0115106724665615,1.0,1.0,1.0,-0.3453352528432567,0.7433091475798179,-0.1308368537497545,-0.12981744421906694,338.65928649902344,325.3480987548828,not_applicable_before_ex_if0
s3b-block-17dd185d818e3f2bfae5,composite_vjp,strict,32,64,64,70,0.9374974848016866,0.9375078126484152,0.8699946857249399,0.8701825557809331,1.0115106724665615,0.03225806451612903,31.0,1.0,0.0625025151983134,1.066669528411092,-0.13000531427506012,-0.12981744421906694,26.294967651367188,325.3480987548828,not_applicable_before_ex_if0
s3b-block-1b87ab8a31783316765a,isolated_layer_vjp,strict,32,64,256,70,1.3443307982137105,1.3443363256956258,0.755684613955031,0.7592417061611374,1.0135467428076794,1.0,1.0,1.0,-0.3443307982137105,0.7438645319505864,-0.24431538604496905,-0.2407582938388626,375.81504821777344,369.6070861816406,not_applicable_before_ex_if0
s3b-block-1b87ab8a31783316765a,composite_vjp,strict,32,64,256,70,0.9280613046735386,0.9280702308263541,0.7575284698845894,0.7592417061611374,1.0135467428076794,0.03225806451612903,31.0,1.0,0.07193869532646135,1.0775150251003807,-0.24247153011541056,-0.2407582938388626,23.996917724609375,369.6070861816406,not_applicable_before_ex_if0
s3b-block-1c1e8b7285564b954ea1,isolated_layer_vjp,fixedpred,32,64,256,72,1.6853208057080715,1.685361028261601,0.9995061269185399,1.0012484394506866,4.165651119513914,1.0,1.0,1.0,-0.6853208057080715,0.5933588410070446,-0.0004938730814600945,0.0012484394506866447,173.8555450439453,158.08031845092773,not_applicable_before_ex_if0
s3b-block-1c1e8b7285564b954ea1,composite_vjp,fixedpred,32,64,256,72,1.1054694396223803,1.1055075556052363,1.0029955828215515,1.0012484394506866,4.165651119513914,0.03125,32.0,1.0,-0.10546943962238031,0.9045930752654656,0.0029955828215515456,0.0012484394506866447,13.992515563964844,158.08031845092773,not_applicable_before_ex_if0
s3b-block-1fd577634741b207f982,isolated_layer_vjp,fixedpred,4,64,64,70,1.5770358983702302,1.577119728557551,0.999492905142606,1.0,5.101599632033526,1.0,1.0,1.0,-0.5770358983702302,0.6341009745139211,-0.0005070948573939749,0.0,23.276136875152588,21.525885581970215,not_applicable_before_ex_if0
s3b-block-1fd577634741b207f982,composite_vjp,fixedpred,4,64,64,70,1.2090984182459779,1.2092959764474456,1.0020692535742524,1.0,5.101599632033526,0.25,4.0,1.0,-0.20909841824597786,0.8270625326354211,0.002069253574252361,0.0,8.269968509674072,21.525885581970215,not_applicable_before_ex_if0
