dataset,model,method,model_seed,test_accuracy_original,test_macro_f1_original,total_training_time_sec_original,mean_epoch_time_sec_original,median_epoch_time_sec_original,peak_gpu_memory_allocated_bytes_original,peak_gpu_memory_reserved_bytes_original,runtime_over_bp_original,test_accuracy_patched,test_macro_f1_patched,total_training_time_sec_patched,mean_epoch_time_sec_patched,median_epoch_time_sec_patched,peak_gpu_memory_allocated_bytes_patched,peak_gpu_memory_reserved_bytes_patched,runtime_over_bp_patched,test_accuracy_difference,test_accuracy_ratio,test_macro_f1_difference,test_macro_f1_ratio,total_training_time_sec_difference,total_training_time_sec_ratio,mean_epoch_time_sec_difference,mean_epoch_time_sec_ratio,median_epoch_time_sec_difference,median_epoch_time_sec_ratio,peak_gpu_memory_allocated_bytes_difference,peak_gpu_memory_allocated_bytes_ratio,peak_gpu_memory_reserved_bytes_difference,peak_gpu_memory_reserved_bytes_ratio,runtime_over_bp_difference,runtime_over_bp_ratio
MNIST,lenet_classic,fixedpred,9,0.9839,0.9837963010737166,68.74467543899664,6.874467543899664,6.035379662000196,160873472.0,174063616.0,2.715325409944331,0.9839,0.9837963010737166,46.71784727102204,4.671784727102204,3.832672733500658,163132416,195035136,1.8491248410493986,0.0,1.0,0.0,1.0,-22.0268281679746,0.6795849565466202,-2.20268281679746,0.6795849565466202,-2.2027069284995378,0.635034239458345,2258944.0,1.0140417433148954,20971520.0,1.1204819277108433,-0.8662005688949324,0.6809956678773573
MNIST,lenet_classic,strict,9,0.9848,0.9847133640591442,129.58217002800666,12.958217002800666,12.159324562500842,156862464.0,188743680.0,5.118327444356157,0.9848,0.9847133640591442,94.36420957201335,9.436420957201335,8.61789445499744,156148736,167772160,3.735000951848953,0.0,1.0,0.0,1.0,-35.21796045599331,0.7282190871754839,-3.5217960455993307,0.7282190871754839,-3.541430107503402,0.7087477935719296,-713728.0,0.9954499758463567,-20971520.0,0.8888888888888888,-1.3833264925072042,0.7297307553012143
FashionMNIST,lenet_classic,bp,0,0.8738,0.8745241432543246,25.707992495001236,2.5707992495001237,1.7608451255000546,129994240.0,138412032.0,1.0,0.8738,0.8745241432543246,25.691965453966986,2.5691965453966987,1.7189631439905497,129994240,138412032,1.0,0.0,1.0,0.0,1.0,-0.016027041034249123,0.9993765736069292,-0.0016027041034250011,0.9993765736069292,-0.04188198150950484,0.9762148408721574,0.0,1.0,0.0,1.0,0.0,1.0
FashionMNIST,lenet_classic,strict,0,0.8746,0.874848011497737,128.73818698099785,12.873818698099786,12.069594996000887,156862464.0,188743680.0,5.007710617856692,0.8746,0.874848011497737,94.07987100900209,9.40798710090021,8.591705451501184,156148736,167772160,3.661840164683688,0.0,1.0,0.0,1.0,-34.65831597199576,0.7307844953796698,-3.4658315971995766,0.7307844953796698,-3.4778895444997033,0.7118470383097313,-713728.0,0.9954499758463567,-20971520.0,0.8888888888888888,-1.3458704531730046,0.7312403699259604
FashionMNIST,lenet_classic,exact,0,0.8738,0.8745241432543246,29.881808098005422,2.988180809800542,2.157223550000708,164927488.0,186646528.0,1.1623547853382858,0.8738,0.8745241432543246,25.633436697011348,2.5633436697011347,1.744582821505901,133660160,140509184,0.997721904263786,0.0,1.0,0.0,1.0,-4.248371400994074,0.857827498688821,-0.4248371400994073,0.857827498688821,-0.41264072849480726,0.8087167514490227,-31267328.0,0.8104177273348152,-46137344.0,0.7528089887640449,-0.1646328810744998,0.8583626246038245
FashionMNIST,lenet_classic,fixedpred,0,0.8737,0.8745827343440112,69.40550952500053,6.940550952500052,6.092645963499308,160873472.0,174063616.0,2.6997638784318148,0.8737,0.8745827343440112,47.485155931994086,4.748515593199409,3.911105126491748,163132416,195035136,1.8482492519723557,0.0,1.0,0.0,1.0,-21.92035359300644,0.6841698340228952,-2.192035359300643,0.6841698340228953,-2.18154083700756,0.641938683114521,2258944.0,1.0140417433148954,20971520.0,1.1204819277108433,-0.8515146264594591,0.6845966296304142
FashionMNIST,lenet_classic,strict,1,0.8689,0.8692297737731829,126.68590123299509,12.66859012329951,11.844016820499746,156862464.0,188743680.0,4.966401481695232,0.8689,0.8692297737731829,93.5577082009986,9.35577082009986,8.514541840995662,156148736,167772160,3.6767100336049263,0.0,1.0,0.0,1.0,-33.12819303199649,0.7385013430099961,-3.3128193031996496,0.7385013430099961,-3.3294749795040843,0.7188897119986022,-713728.0,0.9954499758463567,-20971520.0,0.8888888888888888,-1.2896914480903061,0.7403167156655078
FashionMNIST,lenet_classic,fixedpred,1,0.8717,0.8727044057828321,68.734543716997,6.873454371699699,6.034988368499398,160873472.0,174063616.0,2.694564560360346,0.8717,0.8727044057828321,46.75595694502408,4.675595694502408,3.8444715200021164,163132416,195035136,1.837455184999231,0.0,1.0,0.0,1.0,-21.978586771972914,0.6802395770245298,-2.197858677197291,0.6802395770245298,-2.190516848497282,0.637030477153686,2258944.0,1.0140417433148954,20971520.0,1.1204819277108433,-0.8571093753611148,0.6819117315019935
FashionMNIST,lenet_classic,bp,1,0.8698,0.8706011483907435,25.508590414996434,2.5508590414996433,1.7407938999986072,129994240.0,138412032.0,1.0,0.8698,0.8706011483907435,25.44603935199848,2.5446039351998477,1.7279551415049355,129994240,138412032,1.0,0.0,1.0,0.0,1.0,-0.06255106299795443,0.9975478432175076,-0.006255106299795532,0.9975478432175076,-0.012838758493671776,0.9926247682200161,0.0,1.0,0.0,1.0,0.0,1.0
FashionMNIST,lenet_classic,exact,1,0.8698,0.8706011483907435,29.41688900299414,2.9416889002994138,2.123455495999224,164927488.0,186646528.0,1.1532149963762806,0.8698,0.8706011483907435,25.262019419984426,2.5262019419984427,1.7169664749962976,133660160,140509184,0.9927682288992609,0.0,1.0,0.0,1.0,-4.154869583009713,0.8587590420391898,-0.41548695830097104,0.85875904203919,-0.40648902100292617,0.8085719141424027,-31267328.0,0.8104177273348152,-46137344.0,0.7528089887640449,-0.1604467674770197,0.8608700303228907
