dataset,model,checkpoint_label,model_seed,method,layer,metric,value,n_observations,n_missing
FashionMNIST,lenet_classic,final,3,exact,1,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,3,exact,3,cosine,0.99999999999998779,5,0
FashionMNIST,lenet_classic,final,3,exact,3,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,3,exact,3,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,3,exact,3,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,3,exact,4,cosine,0.99999999999999767,5,0
FashionMNIST,lenet_classic,final,3,exact,4,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,3,exact,4,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,3,exact,4,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,3,exact,5,cosine,0.99999999999999978,5,0
FashionMNIST,lenet_classic,final,3,exact,5,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,3,exact,5,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,3,exact,5,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,3,fixedpred,0,cosine,0.99540321804112908,5,0
FashionMNIST,lenet_classic,final,3,fixedpred,0,norm_ratio,0.00088815049804578006,5,0
FashionMNIST,lenet_classic,final,3,fixedpred,0,relative_l2,0.99911593320149694,5,0
FashionMNIST,lenet_classic,final,3,fixedpred,0,sign_agreement,0.96538461538461551,5,0
FashionMNIST,lenet_classic,final,3,fixedpred,1,cosine,0.99990041475855196,5,0
FashionMNIST,lenet_classic,final,3,fixedpred,1,norm_ratio,0.0083266721981039189,5,0
FashionMNIST,lenet_classic,final,3,fixedpred,1,relative_l2,0.99167416485525339,5,0
FashionMNIST,lenet_classic,final,3,fixedpred,1,sign_agreement,0.995860927152318,5,0
FashionMNIST,lenet_classic,final,3,fixedpred,3,cosine,0.99999990802888095,5,0
FashionMNIST,lenet_classic,final,3,fixedpred,3,norm_ratio,0.22516064065389663,5,0
FashionMNIST,lenet_classic,final,3,fixedpred,3,relative_l2,0.7748393860720203,5,0
FashionMNIST,lenet_classic,final,3,fixedpred,3,sign_agreement,0.9998088113050706,5,0
FashionMNIST,lenet_classic,final,3,fixedpred,4,cosine,0.99999995384593665,5,0
FashionMNIST,lenet_classic,final,3,fixedpred,4,norm_ratio,0.61258834256717498,5,0
FashionMNIST,lenet_classic,final,3,fixedpred,4,relative_l2,0.38741173041460125,5,0
FashionMNIST,lenet_classic,final,3,fixedpred,4,sign_agreement,0.99984258166076356,5,0
FashionMNIST,lenet_classic,final,3,fixedpred,5,cosine,0.99999999999999978,5,0
FashionMNIST,lenet_classic,final,3,fixedpred,5,norm_ratio,1,5,0
FashionMNIST,lenet_classic,final,3,fixedpred,5,relative_l2,0,5,0
FashionMNIST,lenet_classic,final,3,fixedpred,5,sign_agreement,1,5,0
FashionMNIST,lenet_classic,final,3,strict,0,cosine,0.95058754811407342,5,0
FashionMNIST,lenet_classic,final,3,strict,0,norm_ratio,0.00065764783797341996,5,0
FashionMNIST,lenet_classic,final,3,strict,0,relative_l2,0.9993743987456627,5,0
FashionMNIST,lenet_classic,final,3,strict,0,sign_agreement,0.8897435897435898,5,0
FashionMNIST,lenet_classic,final,3,strict,1,cosine,0.87925558064566844,5,0
FashionMNIST,lenet_classic,final,3,strict,1,norm_ratio,0.0042414722013107793,5,0
